NAME
"adf.azure.com"
"afs.azure.net"
"agentsvc.azure-automation.net"
"analytics.cosmos.azure.com"
"analysis.windows.net"
"api.adu.microsoft.com"
"api.azureml.ms"
"attest.azure.net"
"aznbcontent.net"
"azconfig.io"
"azure-api.net"
"azure-automation.net"
"azure-devices-provisioning.net"
"azure-devices.net"
"azurecr.io"
"azuredatabricks.net"
"azurehdinsight.net"
"azurehealthcareapis.com"
"azureiotcentral.com"
"azurestaticapps.net"
"azuresynapse.net"
"azurewebsites.net"
"batch.azure.com"
"blob.core.windows.net"
"cassandra.cosmos.azure.com"
"cognitiveservices.azure.com"
"database.windows.net"
"datafactory.azure.net"
"dev.azuresynapse.net"
"developer.azure-api.net"
"dfs.core.windows.net"
"dicom.azurehealthcareapis.com"
"digitaltwins.azure.net"
"directline.botframework.com"
"documents.azure.com"
"dp.kubernetesconfiguration.azure.com"
"eventgrid.azure.net"
"fhir.azurehealthcareapis.com"
"file.core.windows.net"
"grafana.azure.com"
"gremlin.cosmos.azure.com"
"guestconfiguration.azure.com"
"his.arc.azure.com"
"inference.ml.azure.com"
"instances.azureml.ms"
"kubernetesconfiguration.azure.com"
"managedhsm.azure.net"
"mariadb.database.azure.com"
"media.azure.net"
"mongo.cosmos.azure.com"
"monitor.azure.com"
"mysql.database.azure.com"
"notebooks.azure.net"
"ods.opinsights.azure.com"
"oms.opinsights.azure.com"
"openai.azure.com"
"pbidedicated.windows.net"
"postgres.cosmos.azure.com"
"postgres.database.azure.com"
"prod.migration.windowsazure.com"
"purview.azure.com"
"purviewstudio.azure.com"
"queue.core.windows.net"
"redis.cache.windows.net"
"redisenterprise.cache.azure.net"
"search.windows.net"
"service.signalr.net"
"servicebus.windows.net"
"siterecovery.windowsazure.com"
"sql.azuresynapse.net"
"table.core.windows.net"
"table.cosmos.azure.com"
"tip1.powerquery.microsoft.com"
"token.botframework.com"
"uks.backup.windowsazure.com"
"ukw.backup.windowsazure.com"
"vault.azure.net"
"vaultcore.azure.net"
"web.core.windows.net"
"workspace.azurehealthcareapis.com"
"webpubsub.azure.com"
"wvd.microsoft.com"
